yyyy,mm,tmean,rain
1983,12,6,49.8
1984,1,4.5,81.5
1984,2,3.7,35.4
1984,3,5.3,50.3
1984,4,8.7,1.6
1984,5,10.3,72
1984,6,15.8,30
1984,7,18.1,13.6
1984,8,18.6,32.7
1984,9,14.6,91.1
1984,10,11.8,54.4
1984,11,8.7,101.6
1984,12,5.5,44.5
1985,1,1,44.4
1985,2,2.4,34.7
1985,3,5.2,36.7
1985,4,9.1,32.7
1985,5,11.5,80.5
1985,6,13.3,122.5
1985,7,17.2,45.8
1985,8,15.6,67
1985,9,15.3,19.4
1985,10,11.2,29.1
1985,11,4.6,41.1
1985,12,7.3,108.1
1986,1,3.9,67.3
1986,2,-1.6,7.3
1986,3,5.7,58
1986,4,6.7,70.4
1986,5,11.9,70.7
1986,6,15.6,22.3
1986,7,17.2,37.1
1986,8,14.7,114.3
1986,9,12.1,39
1986,10,11.6,75.1
1986,11,8.4,78.4
1986,12,6.5,64.2
1987,1,0.8,9.9
1987,2,4.1,34
1987,3,4.9,53.9
1987,4,10.9,51.4
1987,5,10.9,48.7
1987,6,14.1,86
1987,7,17,29.3
1987,8,16.8,34
1987,9,14.8,25.4
1987,10,10.4,138.8
1987,11,6.7,58.2
1987,12,5.9,26
1988,1,5.7,100
1988,2,5.2,33.8
1988,3,7,59.1
1988,4,8.6,30.2
1988,5,12.5,32
1988,6,14.5,59.6
1988,7,15.3,96.5
1988,8,16.2,38.8
1988,9,14.2,39.6
1988,10,11.3,38.6
1988,11,5.4,29.5
1988,12,7.8,13.4
1989,1,6.4,33.4
1989,2,6.5,55.1
1989,3,8.3,47
1989,4,7.3,63.8
1989,5,14.2,29.2
1989,6,15.7,45.9
1989,7,19.5,29.4
1989,8,17.9,43.3
1989,9,15.9,23.8
1989,10,12.4,53.9
1989,11,6.5,32.5
1989,12,5.8,141.5
1990,1,7.3,75
1990,2,8.3,94.2
1990,3,8.9,18.4
1990,4,8.5,20.4
1990,5,13.5,8.7
1990,6,14.5,48.8
1990,7,18,17.7
1990,8,19.4,26.5
1990,9,14.1,41.1
1990,10,12.6,45.9
1990,11,7.1,20
1990,12,4.3,56.3
